Fecha,Cierre,Apertura,Máximo,Mínimo,Vol.,% var.,,Mínimo
23.05.2025,3365.8,3295.1,3366.5,3285.5,237.07K,2.15%,,3285.5
22.05.2025,3295,3318,3346.8,3277.8,234.66K,-0.56%,,3277.8
21.05.2025,3313.5,3293,3327.2,3287,229.50K,0.88%,,3287
20.05.2025,3284.6,3233,3298.5,3207.4,224.09K,1.58%,,3207.4
19.05.2025,3233.5,3220,3252.9,3209.1,185.14K,-0.15%,,3209.1
18.05.2025,3238.34,3222,3247.75,3213.3,18.81K,1.60%,,3213.3
16.05.2025,3187.2,3243.5,3255.8,3156.4,245.49K,-1.22%,,3156.4
15.05.2025,3226.6,3180.8,3244.3,3123.3,253.06K,1.20%,,3123.3
14.05.2025,3188.3,3254.1,3261.3,3170.7,233.93K,-1.83%,,3170.7
13.05.2025,3247.8,3240.7,3270.4,3220.1,214.42K,0.61%,,3220.1
12.05.2025,3228,3281,3295.5,3211.2,308.53K,-3.47%,,3211.2
09.05.2025,3344,3310.2,3352.7,3278.9,232.46K,1.15%,,3278.9
08.05.2025,3306,3373.1,3422,3293.3,327.13K,-2.53%,,3293.3
07.05.2025,3391.9,3448.1,3448.2,3367,304.24K,-0.90%,,3367
06.05.2025,3422.8,3345.7,3444.5,3332.1,268.10K,3.03%,,3332.1
05.05.2025,3322.3,3247.1,3346.7,3243.1,184.90K,2.44%,,3243.1
02.05.2025,3243.3,3247.6,3277,3229.5,210.99K,0.65%,,3229.5
01.05.2025,3222.2,3299,3300.6,3209.4,214.69K,-2.92%,,3209.4
30.04.2025,3319.1,3324.5,3337.6,3275.6,207.72K,-0.43%,,3275.6
29.04.2025,3333.6,3354.9,3359.3,3309.2,170.15K,0.02%,,3309.2
28.04.2025,3333,3318.3,3347.7,3266.3,1.30K,1.05%,,3266.3
25.04.2025,3298.4,3362,3384.1,3274.8,241.25K,-1.50%,,3274.8
24.04.2025,3348.6,3301.8,3377,3301.3,239.60K,1.65%,,3301.3
23.04.2025,3294.1,3367.7,3396,3270.8,377.41K,-3.66%,,3270.8
22.04.2025,3419.4,3435.1,3509.9,3379.1,423.08K,-0.17%,,3379.1
